market,lon,lat
Kiserian crops market,36.68676,-1.430349
Kasikeu,37.3833,-1.95
Mtwapa,39.74236,-3.947402
Sibanga,35.12175,1.029823
Sikhendu,35.08124,0.71227
Lungalunga,36.87349,-1.311352
Mogunga,34.76285,-0.86478
Kerugoya,37.27858,-0.49633
Makupa Majengo,39.65672,-4.045457
Chaka,36.99996,-0.359362
Kimumu,35.28855,0.545695
Langas,35.26217,0.482534
Naivasha Market,36.43439,-0.715889
Kamwangi,36.90025,-0.958582
Lodwar Fresh Produce,35.60229,3.116586
Lokiriama Livestock Market,34.81892,3.520468
Mois Bridge,35.06487,0.952061
Kaanwa,37.71974,-0.327967
Poro market,36.61411,1.2364
Kiritiri,37.65,-0.6833
Jamhuri Market,34.75098,-0.11044
Nyakoe,34.75965,-0.62948
Mwingi Town,38.0666,-0.9333
Makutano Embu,37.56951,-0.39181
Nakuru Top Market,36.0712,-0.280272
Lolkuniyani,37.22928,1.067325
Ndanai Market,35.1,-0.8333
Kabati - Muranga,36.36985,-0.51619
Ilbissil Livestock Market,36.79574,-2.088624
Kisasi,38.03176,-1.504117
Mogotio,35.94668,0.163228
Kilingili,34.68123,0.123337
Kapsabet Market,35.10115,0.200498
Lekuru,36.80638,0.867391
Runyenjes,37.61862,-0.438821
test market,35.32254,0.540107
Mwangulu,39.1286,-4.411647
Maralal livestock market,36.7,1.1
Musoli Market,34.66763,0.20428
Wajir Livestock Market,40.07075,1.738451
Muthurwa,36.83341,-1.286692
Mbale,34.72033,0.083501
Tawa,37.4666,-1.55
Ngundune,37.72504,0.227038
Kalokol Fish Market,35.85702,3.532742
Suneka,34.70778,-0.678651
Serem - Vihiga,34.85553,0.077932
Kimanjo Food Crops Market,37.01109,0.476694
Ol-Kalou,36.31479,-0.289173
Makunga Market,34.61239,0.31671
Mokowe Fish Landing Site,40.85499,-2.236663
Kaare,37.76007,-0.182905
Tseikuru,38.21907,-0.312184
Nyamakima,36.822,-1.284
Mbita,34.3143,-0.499782
Kambu,38.07559,-2.594493
Samburu,36.94217,1.539446
Moyale Livestock,39.05842,3.515905
Njoro,35.96157,-0.496303
Modogashe Market,39.71235,-0.378942
Kapkayo,35.70807,0.308159
Kishaunet sale yard,35.08065,1.279247
Mpeketoni,40.69872,-2.389659
Kilgoris,34.88001,-1.008391
Kipkaren,34.96453,0.607747
Emali Market,37.4753,-2.08086
Banisa Market,40.34474,3.940598
Merti Livestock Market,38.73006,1.440447
Isiolo Livestock Market,38.7479,1.00606
Soko mpya,34.97526,-0.335664
Oldonyiro,36.98317,0.62422
NgareMare Livestock Market,37.62302,0.59653
Mulot livestock - Narok,35.4217,-0.938405
Kiunga Market,41.48929,-1.747038
Emurua Dikkir,35.10202,-1.0144061
Kiminini - Kitale,35.00969,1.014264
Nyakongo,34.27884,-0.269389
Bamba Livestock,39.52164,-3.540812
Majengo Vihiga,34.72606,0.050315
Kakuma Livestock Market,34.83094,3.709824
Mouwarak Crops Market,36.63333,0.75
Nyahururu Livestock Market,36.3666,0.0333
Latakweny,37.0924,1.5724
Nginyang,36.06627,1.055498
Mouwarak Livestock Market,36.63333,0.75
Ololulung'a Market,35.66325,-1.002185
Loyangalani fishing cooperative,36.71673,2.75837
Nanyuki Livestock Market,37.07463,0.01403
Emining Livestock Market,35.8888,0.143695
Kimanjo Livestock Market,37.01109,0.476694
Voi Wholesale,38.8036,-3.559275
Voi Retail,38.8036,-3.559275
Taveta Retail Market,37.6833,-3.4
Mghange,38.31295,-3.40107
Keroka Kisii,34.94715,-0.779212
Rumuruti Food Crops Market,36.54037,0.26903
Mandera Market,40.70562,3.228533
Balambala Livestock Market,39.08199,0.108437
Bondeni,36.08299,-0.293796
Khayega,34.77314,0.206242
Nambacha Market,34.66735,0.394815
Naroosura Livestock Market,35.76971,-1.359155
Isebania Market,34.47922,-1.240322
Sega,34.2258,0.2558
Lamu,40.90106,-2.26754
Tankar Market,40.05,1.75
Kimumu - Bahati,35.28855,0.545695
Butere Livestock Market,34.49813,0.216308
Bomet Market,35.23996,-0.719605
Kipini Fish market,40.52725,-2.528173
Cheptulu,34.8646,0.129513
