Crop,Variety name,Release name,Year of release,Owner(s) licensee,Maintainer and source,Areas of production,Maturity duration(months),Yield (t/ha),Special attributes
VINE_SPINACH,"1. Vine
Spinach-1","Abuku
Vine
Nderema-
1",2016,"Prof.
Abukutsa
Mary
O.Onyango","Prof.
Abukutsa
Mary
O.Onyango
& Enos
Abukutsa
Memorial
Holdings
Ltd","500-
2500m asl
Kisii,
Kakamega,
Vihiga,
Kiambu,
Nairobi,
Nyeri
Meru .","2
Harvest duration:
3",50-60," Green
leafed"
VINE_SPINACH,"2. Vine
Spinach-2","Abuku
Vine
Spinach-2",2016,"Prof.
Abukutsa
Mary
O.Onyango","Prof.
Abukutsa
Mary
O.Onyango
& Enos
Abukutsa
Memorial
Holdings
Ltd","500-
2500m asl","2, Kisii,
Kakamega,
Vihiga, Kiambu,
Nairobi,
Nyeri,Meru",50," Purple
leaved with
high
anthocyanin
contetnt"
