Crop,Variety name/code,Year of release,Owner(s),Maintainer and seed source,Optimal production altitude range (Masl),Duration to maturity (months),Grain yield (t ha-1),Special attributes
PEARL_MILLET,1. Kat/PM 1,2000,KARI,"KARI-
Katumani",250-1150,2-3,2.7," 80%bristled,
Tolerant to bird
damage"
PEARL_MILLET,2. Kat/PM 2,2000,KARI,"KARI-
Katumani",250-1150,2,2.3," Grain used at
dough stage"
PEARL_MILLET,3. Kat/PM – 3,2001,KARI,"KARI-
Katumani",250-1150,2,1.8, Bold grains
PEARL_MILLET,4. Nutrifeed,2019,"Advanta
Seeds","Advanta Seed
International","Altitude: 500 –
1500 masl,
Examples:
Bukura, Embu,
Kiboko, Kitale
and Lanet)","3 – 4 cuts
per
cropping
season","30 -
70"," High protein (16
– 20%)
 High
metabolizable
energy (10mj/kg)
 Dry matter
content of 17%
 Multi cut and
drought tolerant
 Suitable for early
feeding with no
risk of prussic
acid poisoning"
