Crop,Variety name/code,Year of release,Owner(s),Maintainer and seed source,Optimal production altitude range (Masl),Duration to maturity (months),Grain yield (t ha-1),Special attributes
MUNG_BEAN,"1. Kat. Dengu
22",1998,KARI,KARI-Katumani,10-1600,2.5 - 3,1.0-1.3," Yellow seed
 No stoniness"
MUNG_BEAN,"2. Kat. Dengu
26",1998,KARI,KARI-Katumani,10-1600,2.5 - 3,1.3-1.5," Green bold
seeds
 No stoniness"
