Crop,Variety name,Release name,Year of release,Owner(s) licensee,Maintainer and source,Areas of production,Maturity duration,Yield (t/ha),Special attributes
JUTE_MALLOW,"1. Mrenda-
1","Abuku
Mrenda-
1",2016,"Prof.
Abukutsa
Mary
O.Onyango","Prof.
Abukutsa
Mary
O.Onyango &
Enos
Abukutsa
Memorial
Holdings Ltd","50-1500m asl
Kisumu, Siaya,
Busia,
Bungoma,
machakos,
Kakamega,
Vihiga,
Makueni,
Migori, Homa
bay",2,20-30," Light green
lanceolate
leaves
 Very high
anti-
oxidant
activity"
JUTE_MALLOW,"2. Mrenda-
2","Abuku
Mrenda-
2",2016,"Prof.
Abukutsa
Mary
O.Onyango","Prof.
Abukutsa
Mary
O.Onyango &
Enos
Abukutsa
Memorial
Holdings Ltd","50-1500m asl
Kisumu, Siaya,
Busia,
Bungoma,
machakos,
Kakamega,
Vihiga,
Makueni,
Migori, Homa
bay",2-3,20-40," Dark green
elliptical
leaves late
flowering
 Very high
anti-
oxidant
activity
 Good
cooking
quality"
